,IF_single_elderly,income_percap,TVtime_codes,IF_existChildren,NumPC_list,IF_singleAE,income,NumWaterHeater_list,NumVehicle_codes,Cookingtime_codes,NumDryer_list,NumWashMach_list,NumCookingEquip_list,IF_coupleWithChildren,resident_codes,raw_income,percapita_en_total_no_vehicle,size,Reno_OtherHeatInsu_codes,IF_existElderly,IF_singleA,SummerSunshine_codes,GlassType_codes,IF_coupleA,elderNumber,resident,demographicType,NumTV_list,live_days,IF_grandparentKids,childrenNumber,NumAC_list,Reno_WindowGap_codes,ages_mean,IF_couple_elderly,gender_codes,HouseAge_codes,job,WinterSunshine_codes,WindowFrame_codes,Reno_WindowGlass_codes,IF_singleWithChildren,Reno_Wall_codes,IF_bigFamily,Weektime_list,cluster
3614,0,5000.0,2.0,1,0,0,2,1,0,2.0,0,1,2,0,1.0,20000.0,94.2580872,4,0.0,1,0,5.0,0.0,0,1,0,7,2,7,0,1,0,0.0,32.5,0,0,5.0,0,4.0,1.0,0.0,0,0.0,1,7,1
3617,0,6250.0,3.0,0,0,0,2,0,0,2.0,0,1,2,0,1.0,25000.0,29.195151175,4,5.0,0,0,8.0,0.0,0,0,0,9,1,2,0,0,0,5.0,35.75,0,1,7.0,1,8.0,0.0,5.0,0,5.0,0,2,1
3618,0,25000.0,2.0,0,1,0,3,0,0,4.0,0,1,2,0,1.0,50000.0,155.66652895,2,6.0,0,0,8.0,0.0,1,0,0,1,1,6,0,0,0,6.0,24.0,0,0,6.0,0,7.0,2.0,6.0,0,6.0,0,6,0
3619,0,7500.0,2.0,1,0,0,3,0,0,2.0,0,1,4,1,1.0,30000.0,57.633959075,4,5.0,0,0,8.0,0.0,0,0,0,2,1,7,0,2,0,5.0,26.0,0,0,5.0,0,6.0,0.0,5.0,0,5.0,0,7,1
3621,0,2500.0,4.0,0,0,0,1,1,0,1.0,0,1,3,0,1.0,5000.0,253.3907782,2,6.0,1,0,6.0,0.0,0,2,0,6,1,7,0,0,0,6.0,61.5,1,1,5.0,1,3.0,1.0,6.0,0,6.0,0,7,1
3622,0,30000.0,2.0,0,2,0,4,0,0,4.0,0,1,2,0,1.0,60000.0,274.84129855,2,6.0,0,0,8.0,0.0,1,0,0,1,1,7,0,0,0,6.0,50.0,0,1,6.0,1,8.0,0.0,6.0,0,6.0,0,7,0
3624,0,14285.71429,2.0,1,0,0,4,0,0,2.0,0,1,1,0,1.0,100000.0,36.0417525,7,6.0,1,0,7.0,0.0,0,2,0,7,1,7,0,1,0,6.0,35.5,0,0,6.0,1,4.0,3.0,6.0,0,6.0,1,7,1
3627,0,8333.333333,3.0,0,1,0,2,0,1,3.0,0,1,4,0,1.0,25000.0,91.14061206666666,3,6.0,1,0,8.0,1.0,0,1,0,8,1,7,0,0,0,6.0,44.33333333,0,1,7.0,1,7.0,0.0,6.0,0,6.0,0,7,1
3629,0,12000.0,3.0,1,0,0,4,0,0,2.0,0,1,2,0,1.0,60000.0,43.95786018,5,6.0,0,0,4.0,0.0,0,0,0,7,1,6,0,1,0,6.0,35.2,0,0,6.0,0,3.0,3.0,6.0,0,6.0,1,6,1
3631,0,30000.0,1.0,0,0,0,5,1,1,3.0,0,1,1,0,1.0,120000.0,764.67572,4,6.0,0,0,8.0,1.0,0,0,0,9,1,7,0,0,0,6.0,34.25,0,0,5.0,2,5.0,0.0,6.0,0,6.0,0,7,0
3633,0,7142.857143,2.0,1,0,0,3,0,0,2.0,0,1,1,0,1.0,50000.0,33.205835,7,6.0,1,0,6.0,0.0,0,1,0,7,1,7,0,2,0,6.0,38.42857143,0,1,6.0,0,5.0,0.0,6.0,0,6.0,1,7,1
3634,0,7200.0,3.0,0,0,0,2,0,0,3.0,0,0,1,0,1.0,14400.0,112.31431575,2,6.0,1,0,4.0,0.0,0,2,0,6,1,7,0,0,0,6.0,59.5,1,0,6.0,0,3.0,0.0,6.0,0,6.0,0,7,1
3637,0,6666.666667,3.0,1,0,0,2,0,0,2.0,0,1,1,0,1.0,20000.0,70.73195423333333,3,6.0,0,0,7.0,0.0,0,0,0,3,1,7,0,2,0,6.0,24.33333333,0,0,6.0,0,5.0,0.0,6.0,1,6.0,0,7,1
3638,1,10000.0,4.0,0,0,1,1,0,0,2.0,0,1,2,0,1.0,10000.0,268.6021217,1,6.0,1,0,7.0,0.0,0,1,0,5,1,7,0,0,0,6.0,56.0,0,0,6.0,1,5.0,1.0,6.0,0,6.0,0,7,1
3640,0,11000.0,3.0,0,1,0,4,0,1,5.0,0,1,3,0,1.0,55000.0,7.333656026,5,6.0,1,0,8.0,0.0,0,1,0,8,1,7,0,0,1,6.0,49.0,0,1,5.0,2,5.0,0.0,6.0,0,6.0,0,7,1
3641,0,20000.0,2.0,1,0,0,3,0,0,2.0,0,0,1,0,1.0,40000.0,78.6837785,2,6.0,1,0,4.0,0.0,0,2,0,7,1,7,0,1,0,6.0,37.6,0,1,7.0,1,2.0,1.0,5.0,0,6.0,1,7,1
3642,0,1000.0,1.0,1,0,0,1,0,0,2.0,0,0,2,1,1.0,3000.0,61.097703333333335,3,0.0,0,0,4.0,0.0,0,0,0,2,1,7,0,1,0,0.0,31.33333333,0,1,1.0,1,3.0,1.0,1.0,0,0.0,0,7,1
3643,0,15000.0,2.0,0,0,0,3,0,0,2.0,0,1,2,0,1.0,30000.0,94.11958945,2,6.0,1,0,8.0,0.0,0,2,0,6,1,7,0,0,0,6.0,55.0,1,1,6.0,1,8.0,0.0,6.0,0,6.0,0,7,1
3644,0,50000.0,1.0,1,1,0,5,0,1,1.0,0,1,1,1,1.0,200000.0,28.879158475,4,6.0,0,0,5.0,0.0,0,0,0,2,1,7,0,2,1,6.0,22.0,0,0,6.0,2,3.0,0.0,6.0,0,6.0,0,7,0
3645,0,10000.0,3.0,1,0,0,3,1,0,1.0,0,1,1,0,1.0,30000.0,664.780936,3,6.0,1,0,4.0,1.0,0,2,0,4,1,7,1,1,0,6.0,41.66666667,0,0,7.0,0,3.0,0.0,6.0,0,6.0,0,7,1
3650,0,7500.0,1.0,0,0,0,3,0,0,4.0,0,1,1,0,1.0,30000.0,113.40602,4,6.0,1,0,8.0,0.0,0,1,0,8,2,7,0,0,0,6.0,49.33333333,0,0,6.0,1,6.0,0.0,6.0,0,6.0,0,7,1
3651,0,8000.0,3.0,1,0,0,3,0,0,1.0,0,1,3,0,1.0,40000.0,73.35494088,5,6.0,1,0,5.0,0.0,0,1,0,7,1,7,0,2,1,6.0,36.0,0,0,5.0,0,4.0,1.0,4.0,0,6.0,1,7,1
3654,0,2000.0,3.0,0,0,1,0,0,0,3.0,0,0,2,0,1.0,2000.0,264.327245,1,6.0,0,1,8.0,0.0,0,0,0,0,1,7,0,0,0,6.0,51.0,0,1,6.0,1,8.0,3.0,6.0,0,6.0,0,7,1
3655,0,15000.0,5.0,0,0,0,3,0,0,2.0,0,0,1,0,1.0,30000.0,84.9055025,2,6.0,0,0,8.0,0.0,1,0,0,1,1,7,0,0,0,6.0,38.5,0,1,5.0,1,8.0,1.0,6.0,0,6.0,0,7,1
3659,0,7500.0,3.0,1,0,0,3,0,0,2.0,0,0,1,1,1.0,30000.0,85.217386875,4,6.0,0,0,8.0,0.0,0,0,0,2,1,7,0,2,0,6.0,18.0,0,1,5.0,2,6.0,1.0,6.0,0,6.0,0,7,1
3660,0,50000.0,3.0,0,2,0,4,1,0,4.0,0,1,2,0,1.0,100000.0,754.061633,2,6.0,0,0,8.0,1.0,0,0,0,9,1,7,0,0,0,5.0,38.25,0,1,7.0,2,8.0,0.0,5.0,0,5.0,0,7,0
3661,0,17000.0,3.0,0,0,1,2,0,0,3.0,0,1,3,0,1.0,17000.0,135.0865178,1,5.0,0,1,8.0,0.0,0,0,0,0,1,4,0,0,0,6.0,42.0,0,1,2.0,2,8.0,1.0,2.0,0,2.0,0,4,1
3662,0,15000.0,1.0,0,0,0,3,0,0,1.0,0,0,1,0,1.0,30000.0,39.106795,2,6.0,1,0,8.0,0.0,0,2,0,6,1,7,0,0,0,6.0,66.0,1,1,2.0,1,8.0,1.0,6.0,0,6.0,0,7,1
3663,0,11500.0,1.0,0,0,0,2,0,0,4.0,0,1,2,0,1.0,23000.0,219.878022,2,6.0,0,0,6.0,1.0,1,0,0,1,1,7,0,0,0,6.0,50.0,0,1,5.0,1,4.0,2.0,6.0,0,6.0,0,7,1
3665,0,22500.0,0.0,0,0,0,3,1,0,3.0,0,0,1,0,1.0,45000.0,888.9618785,2,6.0,0,0,8.0,0.0,0,0,0,9,1,7,0,0,0,6.0,38.0,0,1,7.0,2,6.0,0.0,6.0,0,6.0,0,7,0
3666,0,13333.33333,3.0,1,0,0,3,0,0,1.0,0,1,1,0,1.0,40000.0,97.7913654,3,6.0,0,0,8.0,0.0,0,0,0,3,1,7,0,2,0,6.0,17.0,0,1,5.0,2,7.0,2.0,6.0,1,6.0,0,7,1
3667,0,20000.0,3.0,1,0,0,4,0,0,2.0,0,1,1,0,1.0,80000.0,47.35875095,4,6.0,0,0,4.0,0.0,0,0,0,7,1,7,0,2,0,6.0,25.66666667,0,0,6.0,1,3.0,1.0,6.0,0,6.0,1,7,1
3668,0,10000.0,2.0,0,0,0,2,0,0,2.0,0,0,1,0,1.0,20000.0,78.6837785,2,6.0,0,0,4.0,0.0,0,0,0,9,1,7,0,0,0,6.0,35.25,0,1,5.0,1,2.0,1.0,4.0,0,6.0,0,7,1
