,id,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating
239,1707,,,66.339,15.9547349,1225.910204,0.559195,20.13102,44.7356,0.0,208.2569476
240,1710,10.80175781,91.70798,333.484424,37.02354082,814.6285714,3.35517,12.7943816,87.23442,0.0,399.3470634
241,1716,0.0,203.994336,250.48773749999998,0.0,1530.612245,22.18140167,8.8576488,57.03789,0.0,139.79875
242,1724,,,234.55068,15.9547349,831.2536443,0.0,4.026204,,0.0,312.0580878
243,1738,0.0,,199.017,15.9547349,382.6530612,5.032755,20.13102,,0.0,399.3470634
244,1746,0.0,22.815156,71.137259372,12.76378792,840.8163265,15.84385833,8.8576488,95.06315,1655.6625,139.79875
245,1753,78.34875,36.90687,412.21907999999996,14.80941633,1261.22449,0.111839,8.8576488,33.5517,0.0,355.7025756
246,1755,54.844125,11.519417,215.233655,22.21412449,436.4081633,3.35517,13.331208799999999,20.13102,0.0,355.7025756
247,1763,,2.732067,4.212,7.252152226,255.1020408,,0.31954,,0.0,7.9885
248,1769,0.0,,11.1839,7.252152226,840.8163265,0.381333333,3.8344799999999997,,0.0,80.01489431
249,1776,10.28327344,5.368272,213.761275,31.90946979,375.3644315,15.84385833,8.8576488,95.06315,0.0,
250,1777,2.016328125,15.210104,215.79285,31.90946979,1261.22449,6.4064,2.9525496,,0.0,312.0580878
251,1782,,,331.695,0.0,645.4081633,,4.026204,,0.0,355.7025756
252,1786,0.0,,250.39453833299999,12.76378792,813.4110787,5.59195,8.8576488,,0.0,139.79875
253,1788,6.169964063,68.445468,97.39912,14.80941633,0.0,4.47356,8.8576488,,0.0,214.578
254,1797,0.0,,132.678,31.90946979,1530.612245,17.79555556,2.23678,,0.0,214.578
255,1799,23.69185547,38.02526,349.23525,18.51177041,484.8979592,0.0,19.683664,120.78612,0.0,268.4136
256,1806,32.193050670000005,64.419264,36.194340000000004,19.14568188,1530.612245,2.123333333,7.605052,,0.0,83.87925
257,1818,0.0,19.124469,110.565,12.76378792,831.2536443,0.0,2.23678,,0.0,83.87925
258,1821,7.349516016,,137.15156,31.90946979,840.8163265,2.002,1.342068,,0.0,312.0580878
259,1826,0.0,,398.23920499999997,12.76378792,655.9766764,2.982373333,4.026204,60.39306,0.0,83.87925
260,1832,58.110576562999995,98.977515,1557.3940200000002,14.80941633,1939.591837,1.901263,30.867564,201.3102,0.0,279.5429444
261,1846,,,352.5529735,29.71772507,759.1836735,0.41939625,20.13102,87.23442,0.0,312.0580878
